abak,morning,nauukol sa umaga
quimut,motion,"galaw, kilos"
rancho,ranch,rantso
ranco,rank,"malago, mayabong, mataba, maantot, mabaho"
ranup,hunger,gutom
rapal,hurry,dali
rason,reason,katuwiran
ratun,stillness,tahimik
rawak,"evil, wickedness",masama
"reputacion, paintungulan",reputation,reputasyon
"residencia, tuknangan",residence,"tahanan, tirahan"
resistencia,resistance,pigil
"retaso, pitabasan",remnant,labi
"rilis, tramo",railroad,tren
"rima, poecia",verse,"tugma, tugmaan"
rirya,jealousy,pangingimbulo
ritak,few,"kaunti, unti"
roeda,ferris wheel,
rollo,scroll,"balumbon, ikid"
roma,rome,dumi
romantiso,romantic,romantika
rusia,russia,rusya
sabagkalan,plug,pasak
sabak,husk,balat
sagkan,shield,kalasag
sagkan,block,tipak
sagmitan,seize,daklutin
sagpangan,seize,daklutin
saguiwa,raw,"hilaw, bubot, sariwa"
saingsing,groan,"dumaing, humibik"
sakbit,sling,saklay
"sakbit, sakle",strap,"sintas, panali"
"sake, saken",ride,"lulan, lumulan"
"saklo, suapang",greedy,dayukdok
saklu,fetch water,
saklu,to fetch water,
saklungan,save,"impok, mag-impok, impokin"
"salabat, maslat",interfere,"makialam, manghimasok, sumabad"
salada,salad,ensalada
salada pruta,salad,ensalada
salampakan,crotch,puklo
salangi,"come inside, enter",pumasok
"salap, panialap",strainer,salaan
"salas, kilab",living room,
"salasan, salesen, talatag, yayus, yaregla",arrange,"ayos, mag-ayos, ayusin"
salbag,spread,iunat
"salbag, bubud",sow,"maghasik, ihasik, hasikan"
salibubang,beetle,salagubang
salikap,basket,buslo
salinku,turn,buklat
salupil,bib,bibero
saluput,surround,paikutan
samapluk,tamarind,sampalok
samasnan,settle,tuusin
sambitlan,cite,"paharapin sa paglilitis, banggitin, tukuyin"
"sambitlan, saglawayan, banguitan",mention,banggit
samiento,floor,sahig
samientuan,pave,maglatag ng bato o laryo
sandalia,sandal,"sandalyas, sinelas"
sandirit,propeller,elise
"sankanan, pamalsalanan, parsalanan, palsala, parsala",blame,"sisi, manisi, sisihin"
sankap,ingredient,sangkap
sanwich,sandwich,sanwits
"sapak, mitmu, masna",full,busog
sapatilla,washer,hilamos
sapingilan,slap,sampal
sapni,"child, descendants",suplmg
sapua,pulp,sapal
sarento,sergeant,sarhento
saresa,cherry,seresas
saria,intentional,"kinusa, sinadya, talaga"
"saya, ligaya, kusuelu",bliss,"kaginghawahan, kasayahan, saya, lugod, kaluguran"
sebalan,collided,"sagupa, sumagupa"
seis,six,anim
selagpian,in-law,sa lugar
"selio, sello",stamp,tatak
sensitibo,sensitive,"damdam, makadama"
"sentencia, atul, sentencian",sentence,hatulan
sesen papragul,rear,likod
siap,chirp,siyap
sibuk,try out,subukan
siklod,kneel,napaluhod
sikuako,pipe,kuwako
sinkilan,nudge,sikuhin ng lihim upang masabi ang ibig sabihin ng walang makaalam
sisilim,twilight,takip-silim
siuala,voice,boses
soltero,single,nag-iisa
submarino,submarine,nasa ilalim ng dagat
subornuan,support,suporta
suguiran,defy,nzavaqleqhaqvo
sukad,measurement,sukatan
suklati,cocoa,kakaw
sulapawan,airport,paliparan
sulapo,fly,lipad
suli,problem,problema
suli,sprout,tubo
suli,graft,"magpasupling, magagpang ng ibang sanga"
sulip,downstairs,"baba, ibaba"
sulparit,squirt,"sumpit, pulandit"
"sulu, sulugui",lamp,ilaw
sulud,dress,sayadin
"sumipa, maldak, sipan, sikaran, paldakan, sipa",kick,"sipa, sipain"
sumpal,cork,tapon
"sumuyu, sumerbisyu, sumerbicio, magserbicio",serve,paglingkuran
sundur,resume,resume
sunga,gasp,"hingal, humingal"
"sungul, sungulan",bribe,suhol
sunlag,shine,magningning
supillo,toothbrush,sipilyo
susaid,suicide,"pagbibigti, pagpapatiwakal, ang nagbigti o nagpatiwakal"
suspecha,suspicion,hinala
suspende,suspend,pansamantala
susulud,outfit,"mga kasuntan, damit"
"sut, isut",reconciliation,pagkakasundo
tabalu,i don't know, hindi ko alam
tabletas,tablet,tableta
tabrete,chair,upuan
tagkilan,touch,hawak
tagle,nature,taglay
taglus,proceed,tumuloy
taguling,gutter,alulod
tagumpe,success,tagumpay
"tagunan, tumagun",attend,"lumingap, kumandili, duminig, maglingkod"
tagusgus,slide,dausdos
"tai, itai, itungi",stitch,tumahi
taid,"lead by the hand, spur",tahid
taiktik,stick,"dikit, dumikit"
taimik,"quiet, still",kalma
tais,hone,"hasaan, talaran"
taisan,whetstone,hasaan
takde,sleeve,manggas
takde,upper arm,
takid,trip,talisod
takla,defecate,"tadtad, magtadtad, tadtarin"
takla,stool,"bangko, taburete"
taklang batwin,falling star,
takneydo,damn it,
talakad,"stand, to stand up",tumayo
talakad,arise,"bumangon, manggaling, magmula"
"talalingap, talasaup",attendant,"alila, lingkod, abay"
talambie,biography,talambuhay
talamitam,relationship,ugnayan
taldawa,field,lupa
talip,peel,talupan
talipampan,alias,bansag
talipan,peel,talupan
taliri,finger,daliri
talisain,a rooster with speckled feathers,
talnanan,knob,"umbok, buko ng kahoy, buko ng bulaklak"
talubang,butterfly,paruparo
talusad,slippery,dulas
tambunan,bury,baon
tamimi,shy,dungo
"tamnanan, tamnan, tanam",plant,"maghasik, ihasik, hasikan"
tampa,hit with the hand,
tampalingan,to slap,
tamumu,bee,bubuyog
tana,us,atin
tanam,crop,ani
tandus,spear,sibat
tandusan,spear,sibat
tangalan,admire,hangaan
tangapan,accept,"tumanggap, tanggapin"
tangapan,admit,amin
tanguian,decline,"humapay, kumiling, humilig, tumanggi, umiwas"
tanke,stalk,sundin
tanke,twig,siit
tankilikan,uphold,"itaas, alalayan"
tapangku,lean-to,"sandal, magsandal, isandal"
tapias,shard,tapyas
tapuk,"cohort, group, platoon",pulutong
taram,"blade, sharpness","talim, dahon"
taramindu,tamarind jam,
taranati,star fruit,
tatap,winnow,tahip
tatas,fluent,"madulas, magaan"
tatio,cock,tite
tatyo,rooster,katyaw
tayas,whet,"patalasin, ihasa"
teklada,piano key,
tekuan,cup,tasa
telegra,wire,alambre
tenam,planted,"maghasik, ihasik, hasikan"
teoria,theory,kaalaman sa pag-iisip
terak,dance,sayaw
terakan,ball,baile
tiani,tweezers,"ipit, pang-ipit, panipit, sipit"
tiba,bake,"magtinapay, magbibingka"
tibukbuk,hood,panakip sa ulo
tidwa,"by twos, double",doble
tikal,fatigue,pagal
tiltilan,dip,"sawsaw, sumawsaw"
timbabalak,lizard,butiki
timbu,slim bamboo,
timbu,reed,xtc8oe
timbulan,flotation device,
timiran,press,gato
tindaragul,big toe,
"tinud, makaustu",proper,wasto
"tipak, katigkal",chunk,tipak
tiradol,slingshot,tirador
miyabe,together,sama
tornillo,screw,tornilyo
tramo,track,"bakas, yapak"
tres,three,matris
tresurera,treasurer,tesorero
trinidad,trinity,"binubuo ng tatlo, santisima trinidad"
tsura,ugly,chitae
tudtud,sleep,tulog
tudturan,bed,kama
tugak,frog,palaka
tuglung,connect,"magkabit, ikabit"
tuknang,stay,"tili, manatili"
tuknang,quit,"palayain, pabayaan"
tuknang,live,tahan
tuknang,cease,"maglikat, magtigil, pumanaw, mawala, itigil, papaglikatin"
tuknangan,address,"talumpati, magtalumpati"
"tulauk, magtokokok",crow,uwak
tulud,leaflet,munting dahon
"tumali, mibangun",rise,"balikwas, magbalikwas, balikwasin"
tumumbo,protrude,"luwa, lumuwa"
tundun,nape,batok
tunggal,"alone, sole",solo
tunguen,treat,"gamot, gumamot, gamutin"
turaidul,treacherous,taksil
turak,ugly,chitae
turopa,haystack,mandala
turwanan,teach,turo
ualis,buttonhole,ohales
ubad,nude,"hubo, maghubo, hubuan"
"ubad, lubas",naked,"hubad, maghubad, hubarin"
ubat,tinder,"lulog, kusot"
udyuran,scrub,isis
ugtu,lunch,mananghalian
ula,prophecy,hula
"ula, paula-ula",conjecture,"maghaka, magsapantaha maghinala, magbintang"
"ulan, manula, ula",guess,haka
ulas,blanket,kumot
ulilla,orphan,ulila
ulip,mend,sulsi
unias,pick,piko
urud,haircut,gupit
ustu,just,"sukat, ganap"
"ustu, makabague",fit,ihit
uyat,"root, vein",puno
"wacat, paludpud",roots of tree,
wali,youngest sibling,
wantis,glove,guwantes
wapin,yes,"oo, opo"
"ware - as in ""aku ware"" (more accurately)",rather,manapa
watas,poet,manunula
ya,he,"kaniya, kanya"
yabe,include,kabilang
yaklung,bend,"liko, lumiko"
"yakmul, makmul",swallow,lunok
yalis,move,urong
yambag,donate,"magkaloob, magdulot, umambag, umabuloy, magbigay"
"yandug, yampang, iparikil",dedicate,"alay, mag-alay, alayan"
yatsa,throw,"hagis, ihagis"
yatu,earth,lupa
yeng,respect him,
yornu,bake,"magtinapay, magbibingka"
yubu,glory,"lumwalhati, maghambog, magparanya"
yugse,dump,"panglaw, bigat ng loob"
yutus,direct,diretso
"kabud-abud, gulping-gulpi, alang ketunan-tunan",suddenly,bigla na lang
"matuang panaun, minungang panaun",ancient,unang tao
akawul daka,akawul,
aldo sueldo,payday,
alimu,alimu,
alimum,petrichor,
antimong,antimong,
artipicial,artifical,
atsu,atsu,
bagkat,nougat,
bakulau,chimpanzee,
bengatibo,vengeful,
bukilia,mouthpiece,
dramaturgo,playwright,
gareta,oxcart,
granada,pomegranate,
"gubat, kakewan",rainforest,
guitarista,guitarist,
guyabnan,handrail,
"impisa, kapuprumeruan",begginning,
ispagueti,spaghetti,
kabanglu,kabanglu,
kablas,backfire,
kakialung,playmate,
kalingwan,kalingwan,
kalsador,shoehorn,
kantidad (an amount),quanlity,
karakal,karakal,
kashif,kashif,
katsup,ketchup,
"kemiento, samiento, samientuan",cemet,
kentimos,centave,
kerida,concubine,
kiriling,tintinnabulation,
komision,commision,
konstablario,constabulary,
kuliawan,oriole,
kunal,pockmark,
lagwa,lagwa,
lakal,pad,
lalam danum,underwater,
laparis,runover,
lasetas,jackknife,
libreta,bankbook,
libreta,passbook,
lipunga,trenchfoot,
lovebird,lovebird,
mablas,retailiate,
maduluk,smolder,
magpenitencia,flagellant,
"maina.. lub, talakalunus",softhearted,
makakalale,careful,
makapangaklingan,earsplitting,
makatumbo,bulding,
"malpa, kulembut",weakling,
malutub,fledgling,
mamiblas,mamiblas,
"manabu, mibagsak",flunk,
manbibilay,manbibilae,
memalintusan,memalintusan,
memusitara,memusitara,
meninap,dreamt,
migkamali,mistaken,
milayu,milayu,
milibe,swap,
momma,mimwa,
murit,lunatic,
myung,zoom,
nunganunga,noonga,
obligan,obligate,
pabanwa,pabanwa,
paglokwan,paglokwan,
"pakapata, pakatudtud",anesthetic,
palipitan,tweak,
pamitabnu,constact,
patus,horseshoe,
paunacan,neice/nephew,pamangkin
pisuk,clubfoot,
piteterakan,ballroom,
pucut,fishnet,
pusad,bellybutton,
salimpara,ricochet,
samientuan,solidify,
sandirit,pinwheel,
semestro,semester,
sigui,zoom,
sikuat,uppercut,
"sim, yeru, iero",shingle,
subling mie,resurrect,
suli,offshoot,
teknisa,technique,
trambia,streetcar,
"trisyunan, pagtraidulan",doublecross,
